,st,occ_code,occ_title,tot_emp,h_mean,a_mean,year
420,AL,67000,Cleaning and Building Service Occupations,**,*,*,1997
421,AL,67002,Maids and Housekeeping Cleaners,13400,6.23,12960,1997
422,AL,67005,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",24360,6.62,13760,1997
423,AL,67008,Pest Controllers and Assistants,1230,9.67,20100,1997
424,AL,67099,All Other Cleaning and Building Service Workers,2780,7.50,15600,1997
425,AL,68000,Personal Service Occupations,**,*,*,1997
426,AL,68002,Barbers,150,9.00,18730,1997
427,AL,68005,"Hairdressers, Hairstylists, and Cosmetologists",3260,7.99,16610,1997
428,AL,68008,Manicurists,190,8.16,16980,1997
429,AL,68011,Shampooers,250,5.71,11880,1997
430,AL,68014,Amusement and Recreation Attendants,2300,6.05,12580,1997
431,AL,68017,Guides,80,5.93,12320,1997
432,AL,68021,"Ushers, Lobby Attendants, and Ticket Takers",280,5.36,11150,1997
433,AL,68023,Baggage Porters and Bellhops,210,5.93,12340,1997
434,AL,68035,Personal and Home Care Aides,1080,6.16,12810,1997
435,AL,68038,Child Care Workers,7060,6.47,13460,1997
